Comment,Designator,Footprint,LCSC
1k,R14,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
4k7,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
PSM712,D2,SOT-23_Handsoldering,
PC817,U3,mdip_4_handsolder,
NUP2105,D1,SOT-23_Handsoldering,
k22,R11,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
1k,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
K12,R4,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
56p,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
4k7,R13,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
G4_PU,J8,TestPoint_THTPad_D1.5mm_Drill0.7mm,
u1,C8,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
ON TERM,SW3,SW_SPDT_PCM12_handsolder,
ESP32-WROOM-E,U1,ESP32-WROOM-32_HANDSOLDER,
u1,C7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
TERM ON,SW4,SW_SPDT_PCM12_handsolder,
SN65HVD230,U4,SOIC-8_3.9x4.9mm_Pitch1.27mm_handsolder,
K12,R9,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
u1,C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
G16,J9,TestPoint_THTPad_D1.5mm_Drill0.7mm,
G23,J12,TestPoint_THTPad_D1.5mm_Drill0.7mm,
1k,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
22u,C10,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
100k,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
1k,R15,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
4k7,R12,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
MAX3485,U5,SOIC-8_3.9x4.9mm_Pitch1.27mm_handsolder,
G19,J11,TestPoint_THTPad_D1.5mm_Drill0.7mm,
10u,C11,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
10u,L2,L_0630,
Reset,SW2,SW_SPST_TL3342_smaller_handsolder,
1k,R10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
u1,C14,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
I2C,J13,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,
RX,JP1,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
22k,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
Fingerprint,J10,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal_handsolder,
Can+24V,J2,"PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal_smallerCourtyard",
Boot,SW1,SW_SPST_TL3342_smaller_handsolder,
10k,R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
u1,C9,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
WS2812B,D3,WS2812b_handsolder,
RS485,J3,"PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal_smallerCourtyard",
22u,C15,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
Finger_large,J1,"PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal_smallerCourtyard",
10k,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
TPS54202DDC,U2,SOT-23-6_Handsoldering,
Motor,J5,"PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal_smallerCourtyard",
PROG,J4,IDC_2x03_P1.27mm_Vertical,
Buzzer,BZ1,XDCR_CMT-7525-80-SMT-TR_handsolder,
BC847,Q1,SOT-23_Handsoldering,
TX,JP2,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
22u,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
u1,C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
