Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ1,Buzzer,XDCR_CMT-7525-80-SMT-TR_handsolder,102.6,-52.9,90.0,bottom
C1,56p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,95.4,-64.8,180.0,top
C2,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,109.0,-55.0,180.0,bottom
C3,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,86.9,-48.7,180.0,top
C7,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,116.2,-46.2,0.0,top
C8,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,86.0,-35.45,90.0,top
C9,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,92.5,-43.8,270.0,bottom
C10,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,84.0,-35.45,90.0,top
C11,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,109.7,-60.5,270.0,bottom
C14,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,106.2,-66.5,90.0,bottom
C15,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,109.0,-57.0,180.0,bottom
D1,NUP2105,SOT-23_Handsoldering,109.6,-58.65,-90.0,top
D2,PSM712,SOT-23_Handsoldering,83.2,-50.4,-90.0,top
D3,INFO,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,108.95,-46.75,180.0,bottom
D4,D,D_SOD-123_handsolder,102.3,-55.8,180.0,top
J1,Finger_large,"PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal_smallerCourtyard",84.495,-41.4,90.0,bottom
J2,Can+24V,"PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal_smallerCourtyard",115.505,-56.8,270.0,bottom
J3,RS485,"PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal_smallerCourtyard",84.5,-56.8,90.0,bottom
J4,PROG,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal_handsolder,117.1,-40.25,90.0,top
J5,Motor,"PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal_smallerCourtyard",115.505,-41.4,270.0,bottom
J6,LCD,PinHeader_1x04_P2.54mm_Vertical,90.3,-67.9,90.0,top
J10,Fingerprint,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal_handsolder,82.7,-42.9,90.0,bottom
J13,I2C,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,92.575,-60.55,270.0,bottom
L2,10u,L_0630,101.5,-63.0,270.0,bottom
Q1,BC847,SOT-23_Handsoldering,95.6,-49.55,180.0,bottom
Q2,PNP,SOT-23_Handsoldering,83.9,-35.9,180.0,bottom
Q3,BC847,SOT-23_Handsoldering,97.6,-57.4,90.0,top
R1,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,83.6,-65.5,0.0,bottom
R2,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,87.6,-65.0,180.0,top
R3,4k7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,108.9,-54.7,180.0,top
R4,K12,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,113.025,-66.725,0.0,top
R5,M1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,95.4,-62.8,0.0,top
R6,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,90.5,-43.8,270.0,bottom
R7,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,109.9,-43.9,270.0,bottom
R8,22k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,112.7,-66.9,0.0,bottom
R9,K12,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,83.9,-54.3,0.0,top
R10,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,91.0,-50.4,0.0,bottom
R11,k22/1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,95.4,-60.9,0.0,top
R12,4k7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,87.3,-65.5,180.0,bottom
R13,4k7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,90.3,-62.0,-90.0,top
R14,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,115.75,-34.4,180.0,top
R15,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,112.05,-34.2,180.0,top
R16,k22,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,107.7,-43.9,90.0,bottom
R17,M1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,82.05,-35.5,-90.0,top
R18,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,82.9,-38.3,180.0,top
R19,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,91.0,-48.5,0.0,bottom
SW1,Boot,SW_SPST_TL3342_smaller_handsolder,108.2,-37.9,270.0,bottom
SW2,Reset,SW_SPST_TL3342_smaller_handsolder,92.4,-37.9,270.0,bottom
SW3,ON TERM,SW_SPDT_PCM12_handsolder,116.7275,-61.0,90.0,top
SW4,TERM ON,SW_SPDT_PCM12_handsolder,83.3,-60.6,-90.0,top
U1,ESP32-WROOM-E,ESP32-WROOM-32_HANDSOLDER,100.0,-42.885,0.0,top
U2,TPS54202DDC,SOT-23-6_Handsoldering,109.0,-65.5,270.0,bottom
U3,PC817,mdip_4_handsolder,99.7,-57.1,-90.0,top
U4,SN65HVD230,SOIC-8_3.9x4.9mm_Pitch1.27mm_handsolder,116.2,-51.4,-90.0,top
U5,MAX3485,SOIC-8_3.9x4.9mm_Pitch1.27mm_handsolder,83.9,-43.5,-90.0,top
