Comment,Designator,Footprint,LCSC
LH114,X1,FP-114 13pol top only,
u1,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
10R,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
1k,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
2k2,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
Buzzer,BZ1,XDCR_CMT-7525-80-SMT-TR_handsolder,
k1,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
1k,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
Conn_01x10,J1,FFC_FPC_10_P0.50mm_Horizontal,
Q_NPN_BEC,Q2,SOT-23_Handsoldering,
10k,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
1k,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
k22,R7,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
LED,D1,LED_PLCC_2835_Handsoldering,
Antenna Hole,H3,SMA_Schraubbefestigung,
1u,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
1k,R12,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
4k7,R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
Rotary_Encoder_Switch_with_Mountingpoint,SW5,Mitsumi_SIQ-02FVS3,
LED,JP1,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
