Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,u1,C_0402_1005Metric,143.4996,-110.7948,-90.0,top
C7,22u,C_0603_1608Metric,142.1996,-111.3208,-90.0,top
C8,u47,C_0805_2012Metric,137.2108,-147.334,90.0,top
C9,u1,C_0402_1005Metric,135.8392,-143.256,0.0,top
C11,u1,C_0402_1005Metric,137.2108,-145.034,0.0,top
D1,24V active,LED_1606,185.0792,-107.0864,0.0,top
D2,3V active,LED_1606,181.5592,-107.0864,0.0,top
D5,LED,LED_1606,129.3368,-89.5604,0.0,top
D6,LED,LED_1606,131.9784,-89.5604,0.0,top
D7,LED,LED_1606,134.62,-89.5604,0.0,top
D8,LED,LED_1606,137.2616,-89.5604,0.0,top
D9,LED,LED_1606,139.9032,-89.5604,0.0,top
D10,LED,LED_1606,142.5448,-89.5604,0.0,top
D11,LED,LED_1606,145.1864,-89.5604,0.0,top
D12,LED,LED_1606,147.828,-89.5604,0.0,top
D13,LED,LED_1606,152.5016,-89.5604,0.0,top
D14,LED,LED_1606,155.1432,-89.5604,0.0,top
D15,LED,LED_1606,157.7848,-89.5604,0.0,top
D16,LED,LED_1606,160.4264,-89.5604,0.0,top
D17,LED,LED_1606,163.068,-89.5604,0.0,top
D18,LED,LED_1606,165.7096,-89.5604,0.0,top
D19,LED,LED_1606,168.3512,-89.5604,0.0,top
D20,LED,LED_1606,170.9928,-89.5604,0.0,top
R3,K15,R_0805_2012Metric,135.4,-104.6,180.0,top
R4,10k,R_0402_1005Metric,136.144,-139.4968,90.0,top
R5,K15,R_0805_2012Metric,133.5,-101.2,90.0,top
R6,K15,R_0805_2012Metric,135.4,-101.2,90.0,top
R7,4k7,R_0402_1005Metric,143.0996,-107.1208,180.0,top
R8,22k,R_0402_1005Metric,136.144,-141.3764,90.0,top
R9,K15,R_0805_2012Metric,137.3,-101.2,90.0,top
R10,10k,R_0402_1005Metric,144.7292,-140.7668,90.0,top
R11,4k7,R_1206_3216Metric,189.2,-110.1,90.0,top
R12,K15,R_0805_2012Metric,139.2,-101.2,90.0,top
R13,K15,R_0805_2012Metric,141.1,-101.2,90.0,top
R14,22k,R_0402_1005Metric,144.7292,-142.6464,90.0,top
R15,K15,R_0805_2012Metric,143.0,-101.2,90.0,top
R16,K15,R_0805_2012Metric,149.2,-99.2,90.0,top
R17,K15,R_0805_2012Metric,154.0,-101.2,90.0,top
R18,K15,R_0805_2012Metric,155.9,-101.2,90.0,top
R19,K15,R_0805_2012Metric,157.8,-101.2,90.0,top
R20,k22,R_0402_1005Metric,179.197,-108.8136,0.0,top
R21,K15,R_0805_2012Metric,159.7,-101.2,90.0,top
R22,K15,R_0805_2012Metric,161.6,-101.2,90.0,top
R23,K15,R_0805_2012Metric,163.5,-101.2,90.0,top
R24,K15,R_0805_2012Metric,165.4,-101.2,90.0,top
R25,K15,R_0805_2012Metric,163.5,-104.6,0.0,top
R69,k22,R_0402_1005Metric,129.54,-96.8756,90.0,top
R70,k22,R_0402_1005Metric,132.08,-96.8756,90.0,top
R71,k22,R_0402_1005Metric,134.62,-96.8756,90.0,top
R72,k22,R_0402_1005Metric,137.16,-96.8756,90.0,top
R73,k22,R_0402_1005Metric,139.7,-96.8756,90.0,top
R74,k22,R_0402_1005Metric,141.986,-96.8756,90.0,top
R75,k22,R_0402_1005Metric,143.002,-96.8756,90.0,top
R76,k22,R_0402_1005Metric,144.018,-96.8756,90.0,top
R77,k22,R_0402_1005Metric,156.4386,-96.8756,90.0,top
R78,k22,R_0402_1005Metric,157.6324,-96.8756,90.0,top
R79,k22,R_0402_1005Metric,158.6484,-96.8756,90.0,top
R80,k22,R_0402_1005Metric,160.3248,-96.8756,90.0,top
R81,k22,R_0402_1005Metric,162.8648,-96.8756,90.0,top
R82,k22,R_0402_1005Metric,165.4048,-96.8756,90.0,top
R83,k22,R_0402_1005Metric,167.9448,-96.8756,90.0,top
R84,k22,R_0402_1005Metric,170.4848,-96.8756,90.0,top
U1,LM358,SOIC-8_3.9x4.9mm_P1.27mm,140.5128,-141.2748,180.0,top
U3,PCA9685PW,TSSOP-28_4.4x9.7mm_Pitch0.65mm_handsolder,148.5392,-105.9688,180.0,top
U8,ULN2803A,SOIC-18W_7.5x11.6mm_P1.27mm,126.3996,-140.6708,180.0,top
U9,ULN2803A,SOIC-18W_7.5x11.6mm_P1.27mm,126.3996,-119.4708,180.0,top
