Reference, Quantity, Value, Footprint, Datasheet, AVAILABILITY, DESCRIPTION, MF, MP, PACKAGE, PARTREV, PRICE, STANDARD
C1 C8 ,2,"470u","Capacitor_THT:CP_Radial_D10.0mm_P3.50mm","~"
C11 C12 C13 C14 ,4,"u22","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
C15 C16 C17 C18 ,4,"u68","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
C2 C6 C7 C19 ,4,"1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
C4 C5 C10 C20 C21 C22 C23 C25 C27 C28 C32 C40 C43 ,13,"u1","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
C24 C26 C29 ,3,"2u2","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
C3 C9 C33 ,3,"22u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
C34 ,1,"10u","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~"
C30 C31 C35 ,3,"10n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
C36 C37 C38 C39 ,4,"m1","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~"
C41 C42 ,2,"10u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
D1 ,1,"Rpower_Ginfo","liebler_SEMICONDUCTORS:Dialight-5530123F-0","~"
D3 ,1,"NUP2105","Package_TO_SOT_SMD:SOT-23_Handsoldering","https://www.littelfuse.com/~/media/electronics/datasheets/tvs_diode_arrays/littelfuse_tvs_diode_array_sm712_datasheet.pdf.pdf"
D2 D4 ,2,"2A","Diode_SMD:D_SMB_Handsoldering","~"
D5 ,1,"ebus-RX","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
D6 ,1,"ebus-TX","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
D7 ,1,"9,1V/1,3W","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~"
D8 D9 D10 D11 ,4,"1N4007","liebler_SEMICONDUCTORS:D_SOD-123_handsolder","~"
FB1 ,1,"Bead","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
J1 ,1,"PROG","liebler_CONN:IDC_2x03_P1.27mm_Vertical","~"
