Comment,Designator,Footprint,LCSC
VOL LEFT,RV2,Potentiometer_Alps_RK09K_Single_Vertical,
Housing,N1,KiCad-Logo2_5mm_SilkScreen,
u1,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
AMS1117,U6,SOT-223-3_TabPin2_HANDSOLDER,
CAN,J2,"PhoenixContact_MC_1,5_5-G-3.81_1x05_P3.81mm_Horizontal",
24V,J5,"PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",
NetTie_2,NT1,NetTie-2_SMD_Pad2.0mm,
DCDC_MP2315,U5,MODULE_STEPDOWN,
MODULE_TPA3110,U3,TPA3110_module,
Housing,N2,KiCad-Logo2_5mm_SilkScreen,
CAN,J3,"PhoenixContact_MC_1,5_5-G-3.81_1x05_P3.81mm_Horizontal",
Speaker,J4,"PhoenixContact_MC_1,5_5-G-3.81_1x05_P3.81mm_Horizontal",
SN65HVD230,U2,SOIC-8_3.9x4.9mm_P1.27mm,
22u,C5,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
MODULE_PCM5102,U4,MODULE_PCM5102A,
TERM ON,SW1,Switch_SS12D00,
ESP32-S3-DevKitC,U1,AIthinker_ESP32_S3,
W5500_mini,M1,W5500-mini,
VOL RIGHT,RV1,Potentiometer_Alps_RK09K_Single_Vertical,
u1,C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
22u,C2,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
u1,C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
4k7,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
SensactBusConnector,J1,IDC-Header_2x05_P2.54mm_Horizontal,
NUP2105,D1,SOT-23_Handsoldering,
K12,R2,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
4k7,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
4k7,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
