Comment,Designator,Footprint,LCSC
PCA9555PW,U2,TSSOP-24_4.4x7.8mm_P0.65mm,C128392
10u,C1,C_0603_1608Metric,C19702
10R,"R15,R16,R17,R18,R29,R30,R42,R43,R44,R5,R53,R54,R55,R6,R64,R65",R_0402_1005Metric,C25077
k22,"R12,R13,R20,R21,R22,R23,R24,R25,R26,R27,R28,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R46,R47,R50,R51,R57,R58,R61,R62,R8,R9",R_0402_1005Metric,C25091
10k,"R1,R10,R11,R14,R2,R3,R4,R45,R48,R49,R52,R56,R59,R60,R63,R7",R_0402_1005Metric,C25744
u1,"C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C2,C3,C4,C5,C6,C7,C8,C9",C_0402_1005Metric,C307331
SW_Push,"SW24,SW25,SW26,SW27,SW28,SW29,SW30,SW31",SW_SPST_TL3342_smaller,C318884
SRV05-4,"U1,U3,U4,U6",SOT-23-6,C558418
Inp,"SW10,SW11,SW12,SW13,SW14,SW15,SW8,SW9","Button_2x4x3,5",C778159
DS2482,U5,SOIC-8_3.9x4.9mm_P1.27mm,
SDA,JP2,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,
SCL,JP1,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,
LED_Dual_KAKA,D8,Dialight-5530123F-0,
LED_Dual_KAKA,D6,Dialight-5530123F-0,
LED_Dual_KAKA,D4,Dialight-5530123F-0,
SensactBusConnector,J1,IDC-Header_2x05_P2.54mm_Horizontal,
Inp,SW18,"Button_2x4x3,5",
INT0 INT?,SW4,Switch_SS12D00,
1Wire,J4,"PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",
Inp,SW20,"Button_2x4x3,5",
Inp,SW23,"Button_2x4x3,5",
Inp,SW17,"Button_2x4x3,5",
Inp,SW16,"Button_2x4x3,5",
Inp,SW19,"Button_2x4x3,5",
LED_Dual_KAKA,D1,Dialight-5530123F-0,
LED_Dual_KAKA,D5,Dialight-5530123F-0,
Inp,SW21,"Button_2x4x3,5",
IN8-IN16,J3,"PhoenixContact_MC_0,5_8-G-2.5_1x08_P2.50mm_Horizontal",
LED_Dual_KAKA,D7,Dialight-5530123F-0,
LED_Dual_KAKA,D3,Dialight-5530123F-0,
0 A1 1,SW2,Switch_SS12D00,
Inp,SW22,"Button_2x4x3,5",
INT2 INT1,SW5,Switch_SS12D00,
0 A0 1,SW3,Switch_SS12D00,
LED_Dual_KAKA,D2,Dialight-5530123F-0,
IN1-IN8,J2,"PhoenixContact_MC_0,5_8-G-2.5_1x08_P2.50mm_Horizontal",
0 A2 1,SW1,Switch_SS12D00,
0 AD0 1,SW7,Switch_SS12D00,
0 AD1 1,SW6,Switch_SS12D00,
Jumper_3_Open,JP7,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,
Jumper_3_Open,JP6,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,
Jumper_3_Open,JP5,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,
Jumper_3_Open,JP3,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,
Jumper_3_Open,JP4,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,
