Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0603_1608Metric,181.6,-148.45,-90.0,top
C2,u1,C_0402_1005Metric,181.3,-117.15,-90.0,top
C3,u1,C_0402_1005Metric,130.6,-119.1,-90.0,top
C4,u1,C_0402_1005Metric,130.6,-121.1,90.0,top
C5,u1,C_0402_1005Metric,130.6,-115.2,90.0,top
C6,u1,C_0402_1005Metric,130.6,-117.2,-90.0,top
C7,u1,C_0402_1005Metric,127.3,-125.6,-90.0,top
C8,u1,C_0402_1005Metric,127.3,-127.6,90.0,top
C9,u1,C_0402_1005Metric,127.3,-121.7,90.0,top
C10,u1,C_0402_1005Metric,127.3,-123.7,-90.0,top
C11,u1,C_0402_1005Metric,127.3,-134.7,-90.0,top
C12,u1,C_0402_1005Metric,127.3,-136.7,90.0,top
C13,u1,C_0402_1005Metric,127.4,-145.6,-90.0,top
C14,u1,C_0402_1005Metric,127.4,-147.6,90.0,top
C15,u1,C_0402_1005Metric,127.3,-130.8,90.0,top
C16,u1,C_0402_1005Metric,127.3,-132.8,-90.0,top
C17,u1,C_0402_1005Metric,127.4,-141.8,90.0,top
C18,u1,C_0402_1005Metric,127.4,-143.7,-90.0,top
C19,u1,C_0402_1005Metric,140.0,-133.2,0.0,top
R1,10k,R_0402_1005Metric,126.3,-134.7,90.0,top
R2,10k,R_0402_1005Metric,126.3,-136.7,-90.0,top
R3,10k,R_0402_1005Metric,126.3,-130.8,90.0,top
R4,10k,R_0402_1005Metric,126.3,-132.8,-90.0,top
R5,10R,R_0402_1005Metric,116.7,-113.4,180.0,top
R6,10R,R_0402_1005Metric,116.7,-115.9,180.0,top
R7,10k,R_0402_1005Metric,129.6,-119.1,90.0,top
R8,k22,R_0402_1005Metric,128.6,-119.1,-90.0,top
R9,k22,R_0402_1005Metric,128.6,-121.1,-90.0,top
R10,10k,R_0402_1005Metric,129.6,-121.1,-90.0,top
R11,10k,R_0402_1005Metric,129.6,-115.2,90.0,top
R12,k22,R_0402_1005Metric,128.6,-115.2,-90.0,top
R13,k22,R_0402_1005Metric,128.6,-117.2,90.0,top
R14,10k,R_0402_1005Metric,129.6,-117.2,-90.0,top
