Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,m1,C_1206_3216Metric,174.1,-75.4,180.0,bottom
C10,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,187.6,-45.8,270.0,bottom
C12,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,175.5,-70.0,270.0,bottom
C13,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,193.6,-71.7,180.0,bottom
C14,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,192.6,-69.7,180.0,bottom
C15,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,178.1,-103.0,270.0,bottom
C16,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,176.1,-103.0,270.0,bottom
C17,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,204.25,-80.0,90.0,bottom
C18,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,187.4,-41.4,90.0,bottom
C19,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,184.3,-45.9,0.0,bottom
C2,m1,C_1206_3216Metric,194.0,-73.9,180.0,bottom
C20,m1,C_1206_3216Metric,174.1,-73.1,180.0,bottom
C21,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,191.3,-55.2,90.0,bottom
C22,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,156.3,-91.1,0.0,bottom
C23,22n/250V,C_Rect_L11.0mm_W5.1mm_P10.00mm_MKT,133.6,-54.3,90.0,top
C24,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,193.6,-54.2,270.0,bottom
C25,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,170.2,-100.2,90.0,bottom
C26,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,190.9,-39.9,0.0,bottom
C27,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,194.0,-49.8,90.0,bottom
C28,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,196.9,-50.2,180.0,bottom
C29,u1,C_0805_2012Metric,205.55,-95.45,180.0,bottom
C30,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,183.15,-62.1,270.0,bottom
C31,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,185.8,-61.5,270.0,bottom
C32,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,188.85,-66.65,180.0,bottom
C33,56p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,187.95,-61.85,90.0,bottom
C34,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,172.05,-60.45,90.0,bottom
C35,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,170.05,-60.45,90.0,bottom
C9,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,170.8,-74.7,270.0,bottom
D1,MAINS,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,150.6,-48.7,90.0,bottom
D10,SM4007PL,D_SOD-123_handsolder,156.3,-87.5,180.0,bottom
D12,LED0,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,194.75,-76.5,0.0,top
D13,L1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,155.2,-99.9,90.0,top
D14,L2,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,155.2,-92.6,90.0,top
D15,L3,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,155.2,-85.3,90.0,top
D16,L4,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,155.2,-78.0,90.0,top
D2,SM4007PL,D_SOD-123_handsolder,156.3,-85.2,180.0,bottom
D23,INFO,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,171.9,-83.2,0.0,top
D3,SM4007PL,D_SOD-123_handsolder,156.3,-81.8,180.0,bottom
D4,SM4007PL,D_SOD-123_handsolder,156.4,-78.3,180.0,bottom
D7,Info1,LED_D5.0mm-4_RGB_Staggered_Pins,171.903,-78.802,0.0,top
D8,NUP2105,SOT-23_Handsoldering,211.1,-95.4,90.0,bottom
D9,1N5819WS,D_SMA_Handsoldering,170.0,-70.2,0.0,bottom
F1,T2.0,Fuse_Littelfuse_372_D8.50mm,126.3,-55.2,-90.0,top
J1,USB,PinHeader_1x04_P2.54mm_Vertical,177.1,-88.69,0.0,top
J10,LED1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,127.075,-117.6,90.0,top
J11,LED1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,133.875,-117.6,90.0,top
J12,LED1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,147.475,-117.6,90.0,top
J13,RGB,PinHeader_1x03_P2.54mm_Vertical,170.5,-89.74,0.0,top
J14,PE_IN,"Flachstecker gewinkelt 4,8 oder 6,35mm",126.5,-67.0,0.0,top
J15,LED1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,140.675,-117.6,90.0,top
J16,N_IN,"Flachstecker gewinkelt 4,8 oder 6,35mm",126.5,-40.9,0.0,top
