Comment,Designator,Footprint,LCSC
100R,FB1,L_0805_2012Metric,C1015
1K,"R16,R18,R19,R21,R22,R4",R_0402_1005Metric,C11702
SN65HVD230,U3,SOIC-8_3.9x4.9mm_P1.27mm,C12084
100u,C13,C_1206_3216Metric,C15008
4u7,L1,L_Abracon_ASPI-0630LR,C167220
10R,R6,R_0805_2012Metric,C17415
1k,R11,R_0603_1608Metric,C21190
4u7,"C19,C21",C_0402_1005Metric,C23733
10k,"R1,R2,R20,R5",R_0402_1005Metric,C25744
15k,R9,R_0402_1005Metric,C25756
22k,R3,R_0402_1005Metric,C25768
4k7,"R12,R13,R7",R_0402_1005Metric,C25900
5k1,"R14,R15",R_0402_1005Metric,C25905
AHT21,U5,AHT21,C2827328
USB,J6,GT-USB-7051A,C2843970
ESP32-S3-WROOM-1,U2,ESP32-S3-WROOM-1,C2913205
u1,"C14,C15,C17,C2,C23,C24,C25,C26,C3,C6,C7,C8",C_0402_1005Metric,C307331
Reset,SW1,SW_SPST_TL3342,C318884
68k,R8,R_0402_1005Metric,C36871
RY8310,U4,SOT-23-6,C370876
10u,"C4,C5,C9",C_0805_2012Metric,C440198
1u,"C12,C16,C18,C20,C22",C_0402_1005Metric,C52923
22u,"C1,C10,C11",C_0603_1608Metric,C59461
AMS1117,U8,SOT-223-3_TabPin2,C6186
LM358,U1,SOIC-8_3.9x4.9mm_P1.27mm,C7950
BC817,Q1,SOT-23_smaller,C8512
MAX3485,U7,SOIC-8_3.9x4.9mm_P1.27mm,C8963
PROG,J4,IDC_2x03_P1.27mm_Vertical,
ON CAN OFF,SW2,Switch_SS12D00,
K12,R17,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
AOUT,J1,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,
S+,J5,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,
1,NT2,NetTie-2_SMD_Pad0.5mm,
Betrieb,D2,LED_D5.0mm-4_RGB_Staggered_Pins,
Display_LH154K-PG04,X1,Display_LH154K-PG04_variant,
DS18B20,U9,TO-92_HandSolder,
G C B A,J3,PinHeader_1x04_P2.54mm_Vertical,
NS4168,U6,SOIC-8_3.9x4.9mm_Pitch1.27mm_pad_handsolder,
GREEN,SW6,SW_PUSH_6mm_H13mm,
K12,R10,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
ON 485 OFF,SW4,Switch_SS12D00,
Stellgröße,D3,LED_D5.0mm-4_RGB_Staggered_Pins,
ROT1,SW5,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,
PSM712,D4,SOT-23_Handsoldering,
BaseConnect,J2,IDC-Header_2x05_P2.54mm_Vertical,
NUP2105,D1,SOT-23_Handsoldering,
G C B A,J8,"PhoenixContact_MCV_1,5_4-G-3.5_1x04_P3.50mm_Vertical",
S-,J7,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,
