Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22u,C_0603_1608Metric,18.646,31.947,180.0,top
C2,u1,C_0402_1005Metric,20.646,31.747,-90.0,top
C3,u1,C_0402_1005Metric,18.296,33.197,180.0,top
C4,10u,C_0805_2012Metric,35.196,29.6,0.0,top
C5,10u,C_0805_2012Metric,35.2,32.6,0.0,top
C6,u1,C_0402_1005Metric,36.0,31.1,0.0,top
C7,u1,C_0402_1005Metric,39.596,51.997,180.0,top
C8,u1,C_0402_1005Metric,39.096,27.697,0.0,top
C9,10u,C_0805_2012Metric,53.2,36.9,0.0,top
C10,22u,C_0603_1608Metric,33.996,20.397,180.0,top
C11,22u,C_0603_1608Metric,42.596,17.997,0.0,top
C12,1u,C_0402_1005Metric,25.796,13.4,0.0,top
C13,100u,C_1206_3216Metric,26.2,11.75,0.0,top
C14,u1,C_0402_1005Metric,39.296,17.497,0.0,top
C15,u1,C_0402_1005Metric,46.25,57.8,90.0,top
C16,1u,C_0402_1005Metric,15.596,19.4,0.0,top
C17,u1,C_0402_1005Metric,44.096,58.45,0.0,top
C18,1u,C_0402_1005Metric,18.8,10.9,180.0,top
C19,4u7,C_0402_1005Metric,34.5,18.1,0.0,top
C20,1u,C_0402_1005Metric,34.5,19.1,180.0,top
C21,4u7,C_0402_1005Metric,32.5,19.097,180.0,top
C22,1u,C_0402_1005Metric,32.5,18.1,0.0,top
C23,u1,C_0402_1005Metric,23.0,59.35,180.0,top
C24,u1,C_0402_1005Metric,57.15,24.25,180.0,top
C25,u1,C_0402_1005Metric,44.8,28.5,90.0,top
C26,u1,C_0402_1005Metric,57.65,17.85,90.0,top
FB1,100R,L_0805_2012Metric,23.0,12.1,90.0,top
J6,USB,GT-USB-7051A,50.0,33.0,0.0,top
L1,4u7,L_Abracon_ASPI-0630LR,39.096,22.697,90.0,top
Q1,BC817,SOT-23_smaller,17.8,24.6,-90.0,top
R1,10k,R_0402_1005Metric,17.496,19.4,0.0,top
R2,10k,R_0402_1005Metric,14.15,18.95,90.0,top
R3,22k,R_0402_1005Metric,19.396,19.4,180.0,top
R4,1k,R_0402_1005Metric,18.85,27.8,45.0,top
R5,10k,R_0402_1005Metric,20.196,33.197,0.0,top
R6,10R,R_0805_2012Metric,17.65,21.45,180.0,top
R7,4k7,R_0402_1005Metric,42.646,45.497,-90.0,top
R8,68k,R_0402_1005Metric,42.6,30.4,90.0,top
R9,15k,R_0402_1005Metric,41.596,30.397,90.0,top
R11,1k,R_0603_1608Metric,57.571,26.397,180.0,top
R12,4k7,R_0402_1005Metric,46.9,36.8,90.0,top
R13,4k7,R_0402_1005Metric,47.9,37.9,-90.0,top
R14,5k1,R_0402_1005Metric,55.55,33.85,0.0,top
R15,5k1,R_0402_1005Metric,55.55,34.85,0.0,top
R16,1K,R_0402_1005Metric,59.0,53.4,180.0,top
R18,1k,R_0402_1005Metric,54.15,29.15,-90.0,top
R19,1k,R_0402_1005Metric,45.8,28.5,90.0,top
R20,10k,R_0402_1005Metric,37.696,51.997,180.0,top
R21,1k,R_0402_1005Metric,37.7,52.95,0.0,top
R22,1k,R_0402_1005Metric,56.65,17.85,90.0,top
SW1,Reset,SW_SPST_TL3342,57.896,48.497,-90.0,top
U1,LM358,SOIC-8_3.9x4.9mm_P1.27mm,17.596,15.2,-90.0,top
U2,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,26.046,43.497,90.0,top
U3,SN65HVD230,SOIC-8_3.9x4.9mm_P1.27mm,39.396,47.797,-90.0,top
U4,RY8310,SOT-23-6,38.996,29.897,180.0,top
U5,AHT21,AHT21,49.9,37.5,-90.0,top
U7,MAX3485,SOIC-8_3.9x4.9mm_P1.27mm,39.396,56.2,0.0,top
U8,AMS1117,SOT-223-3_TabPin2,33.496,13.897,180.0,top
