Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,22u,
C10,0603,1,22u,
C11,0603,1,22u,
C12,0402,1,1u,
C13,1206,1,100u,
C14,0402,1,u1,
C15,0402,1,u1,
C16,0402,1,1u,
C17,0402,1,u1,
C18,0402,1,1u,
C19,0402,1,4u7,
C2,0402,1,u1,
C20,0402,1,1u,
C21,0402,1,4u7,
C22,0402,1,1u,
C23,0402,1,u1,
C24,0402,1,u1,
C25,0402,1,u1,
C26,0402,1,u1,
C3,0402,1,u1,
C4,0805,1,10u,
C5,0805,1,10u,
C6,0402,1,u1,
C7,0402,1,u1,
C8,0402,1,u1,
C9,0805,1,10u,
D1,SOT-23_Handsoldering,1,NUP2105,
D2,LED_D5.0mm-4_RGB_Staggered_Pins,1,Betrieb,
D3,LED_D5.0mm-4_RGB_Staggered_Pins,1,Stellgröße,
D4,SOT-23_Handsoldering,1,PSM712,
FB1,0805,1,100R,
J1,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,1,AOUT,
J2,IDC-Header_2x05_P2.54mm_Vertical,1,BaseConnect,
J3,PinHeader_1x04_P2.54mm_Vertical,1,G C B A,
J4,IDC_2x03_P1.27mm_Vertical,1,PROG,
J5,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,1,S+,
J6,GT-USB-7051A,1,USB,
J7,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,1,S-,
J8,"PhoenixContact_MCV_1,5_4-G-3.5_1x04_P3.50mm_Vertical",1,G C B A,
L1,L_Abracon_ASPI-0630LR,1,4u7,
NT2,NetTie-2_SMD_Pad0.5mm,1,1,
Q1,SOT-23_smaller,1,BC817,
R1,0402,1,10k,
R10,1206,1,K12,
R11,0603,1,1k,
R12,0402,1,4k7,
R13,0402,1,4k7,
R14,0402,1,5k1,
R15,0402,1,5k1,
R16,0402,1,1K,
R17,1206,1,K12,
R18,0402,1,1k,
R19,0402,1,1k,
R2,0402,1,10k,
R20,0402,1,10k,
R21,0402,1,1k,
R22,0402,1,1k,
R3,0402,1,22k,
R4,0402,1,1k,
R5,0402,1,10k,
R6,0805,1,10R,
R7,0402,1,4k7,
R8,0402,1,68k,
R9,0402,1,15k,
SW1,SW_SPST_TL3342,1,Reset,
SW2,Switch_SS12D00,1,ON CAN OFF,
SW4,Switch_SS12D00,1,ON 485 OFF,
SW5,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,ROT1,
SW6,SW_PUSH_6mm_H13mm,1,GREEN,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,LM358,
U2,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
U4,SOT-23-6,1,RY8310,
U5,AHT21,1,AHT21,
U6,SOIC-8_3.9x4.9mm_Pitch1.27mm_pad_handsolder,1,NS4168,
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX3485,
U8,SOT-223-3_TabPin2,1,AMS1117,
U9,TO-92_HandSolder,1,DS18B20,
X1,Display_LH154K-PG04_variant,1,Display_LH154K-PG04,
