Designator,Mid X,Mid Y,Rotation,Layer
C1,18.646,31.947,180.0,top
C10,33.996,20.397,180.0,top
C11,42.596,17.997,0.0,top
C12,25.796,13.4,0.0,top
C13,26.2,11.75,0.0,top
C14,39.296,17.497,0.0,top
C15,46.25,57.8,90.0,top
C16,15.596,19.4,0.0,top
C17,44.096,58.45,0.0,top
C18,18.8,10.9,180.0,top
C19,34.5,18.1,0.0,top
C2,20.646,31.747,270.0,top
C20,34.5,19.1,180.0,top
C21,32.5,19.097,180.0,top
C22,32.5,18.1,0.0,top
C23,23.0,59.35,180.0,top
C24,57.15,24.25,180.0,top
C25,44.8,28.5,90.0,top
C26,57.65,17.85,90.0,top
C3,18.296,33.197,180.0,top
C4,35.196,29.6,0.0,top
C5,35.2,32.6,0.0,top
C6,36.0,31.1,0.0,top
C7,39.596,51.997,180.0,top
C8,39.096,27.697,0.0,top
C9,53.2,36.9,0.0,top
FB1,23.0,12.1,90.0,top
J6,50.0,33.0,0.0,top
L1,39.096,22.697,90.0,top
Q1,17.8,24.6,270.0,top
R1,17.496,19.4,0.0,top
R11,57.571,26.397,180.0,top
R12,46.9,36.8,90.0,top
R13,47.9,37.9,270.0,top
R14,55.55,33.85,0.0,top
R15,55.55,34.85,0.0,top
R16,59.0,53.4,180.0,top
R18,54.15,29.15,270.0,top
R19,45.8,28.5,90.0,top
R2,14.15,18.95,90.0,top
R20,37.696,51.997,180.0,top
R21,37.7,52.95,0.0,top
R22,56.65,17.85,90.0,top
R3,19.396,19.4,180.0,top
R4,18.85,27.8,45.0,top
R5,20.196,33.197,0.0,top
R6,17.65,21.45,180.0,top
R7,42.646,45.497,270.0,top
R8,42.6,30.4,90.0,top
R9,41.596,30.397,90.0,top
SW1,57.896,48.497,270.0,top
SW5,49.996,20.997,270.0,top
U1,17.596,15.2,270.0,top
U2,26.046,43.497,90.0,top
U3,39.396,47.797,270.0,top
U4,38.996,29.897,180.0,top
U5,49.9,37.5,270.0,top
U7,39.396,56.2,0.0,top
U8,33.496,13.897,180.0,top
