Comment,Designator,Footprint,LCSC
1k,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
MAX3485,U2,SOIC-8_3.9x4.9mm_Pitch1.27mm_handsolder,
4k7,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
I2C_Sensor,J11,PinHeader_1x04_P2.54mm_Vertical,
K12,R8,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
K12,R5,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
22u,C9,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
Buzzer,BZ1,XDCR_CMT-7525-80-SMT-TR_handsolder,
BC847,Q1,SOT-23_Handsoldering,
1k,R14,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
NRF24L01_Breakout,U7,nRF24L01_Breakout,
10k,R12,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
ON TERM CAN,SW2,SW_SPDT_PCM12_handsolder,
4k7,R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
Boot,SW5,SW_SPST_TL3342_smaller_handsolder,
u1,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
GND,J2,PinHeader_1x02_P2.00mm_Vertical,
4k7,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
LED,D7,LED_PLCC_2835_Handsoldering,
ESP32-S3-WROOM-1,U1,ESP32-WROOM-32_HANDSOLDER,
CentralHole,H1,MountingHole_3.2mm_M3,
-USB+,J1,PinHeader_1x02_P2.00mm_Vertical,
DS18B20,U8,TO-92_HandSolder,
1k,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
LH114,X1,FP-114 13pol top only,
PROG,J10,IDC_2x03_P1.27mm_Vertical,
k22,R24,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
Reset,SW4,SW_SPST_TL3342_smaller_handsolder,
u1,C10,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
SN65HVD230,U3,SOIC-8_3.9x4.9mm_Pitch1.27mm_handsolder,
1k,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
10k,R13,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
u1,C8,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
ON TERM 485,SW1,SW_SPDT_PCM12_handsolder,
BC847,Q3,SOT-23_Handsoldering,
PSM712,D1,SOT-23_Handsoldering,
1k,R11,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
4k7,R17,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
1k,R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
u1,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
BaseConnect,J8,PinHeader_2x07_P2.54mm_Vertical,
NUP2105,D2,SOT-23_Handsoldering,
k1,R10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
1u,C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
1u,C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
