Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ1,Buzzer,XDCR_CMT-7525-80-SMT-TR_handsolder,90.7,-104.2,90.0,top
C1,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,109.3,-113.1,-90.0,top
C2,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,102.6,-109.8,90.0,bottom
C3,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,108.9,-84.1,90.0,bottom
C4,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,90.9,-109.95,0.0,bottom
C8,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,86.1,-95.8,180.0,top
C9,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,86.1,-97.8,180.0,top
C10,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,123.15,-91.6,0.0,top
D1,PSM712,SOT-23_Handsoldering,112.6,-119.2,270.0,bottom
D2,NUP2105,SOT-23_Handsoldering,118.5,-111.15,180.0,bottom
D7,LED,LED_PLCC_2835_Handsoldering,115.5,-67.9,0.0,top
J1,-USB+,PinHeader_1x02_P2.00mm_Vertical,101.0,-96.0,-90.0,top
J2,GND,PinHeader_1x02_P2.00mm_Vertical,92.6,-97.0,180.0,top
J8,BaseConnect,PinHeader_2x07_P2.54mm_Vertical,112.625,-106.995,0.0,bottom
J10,PROG,IDC_2x03_P1.27mm_Vertical,122.385,-85.6,0.0,top
J11,I2C_Sensor,PinHeader_1x04_P2.54mm_Vertical,80.8,-101.6,-90.0,top
Q1,BC847,SOT-23_Handsoldering,83.7,-107.3,0.0,top
Q2,AO3400A,SOT-23_Handsoldering,104.3,-81.3,270.0,bottom
Q3,BC847,SOT-23_Handsoldering,110.2,-67.9,0.0,top
R1,4k7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,77.2,-105.3,-90.0,top
R2,4k7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,79.1,-105.3,-90.0,top
R3,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,116.6,-117.0,-90.0,top
R4,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,104.4,-119.8,0.0,top
R5,K12,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,113.8,-117.65,90.0,top
R6,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,83.6,-104.6,0.0,top
R7,4k7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,109.3,-107.6,90.0,top
R8,K12,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,117.7,-110.5,-90.0,top
R9,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,103.1,-77.0,270.0,bottom
R10,k1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,105.0,-85.6,270.0,bottom
R11,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,106.9,-84.1,90.0,bottom
R12,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,88.95,-96.85,-90.0,top
R13,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,118.7,-88.7,-90.0,top
R14,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,86.0,-72.1,-90.0,top
R17,4k7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,108.4,-105.6,270.0,bottom
R24,k22,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,120.9,-78.5,90.0,top
SW1,ON TERM 485,SW_SPDT_PCM12_handsolder,121.7,-116.35,90.0,top
SW2,ON TERM CAN,SW_SPDT_PCM12_handsolder,121.6775,-105.7,90.0,top
SW4,Reset,SW_SPST_TL3342_smaller_handsolder,120.75,-95.6,180.0,top
SW5,Boot,SW_SPST_TL3342_smaller_handsolder,110.1,-95.6,180.0,top
U1,ESP32-S3-WROOM-1,ESP32-WROOM-32_HANDSOLDER,93.9,-84.5,90.0,top
U2,MAX3485,SOIC-8_3.9x4.9mm_Pitch1.27mm_handsolder,104.05,-115.95,0.0,top
U3,SN65HVD230,SOIC-8_3.9x4.9mm_Pitch1.27mm_handsolder,104.05,-110.2,0.0,top
U7,NRF24L01_Breakout,nRF24L01_Breakout,102.6,-117.05,0.0,top
U8,DS18B20,TO-92_HandSolder,105.7,-104.6,-90.0,top
X1,LH114,FP-114 13pol top only,106.7,-83.95,0.0,top
