Comment,Designator,Footprint,LCSC
10u,L1,L_0630,
GND T0 T1,J3,KF250-3.5-3P-A,
BaseConnect,J1,PinHeader_2x07_P2.54mm_Vertical,
~,J9,WAGO_250-210,
A RS485 B,J4,KF250-3.5-3P-A,
~,J2,WAGO_250-210,
22u,C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
10u,C1,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
56p,C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
u1,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
PC817,U2,mdip_4_handsolder,
22u,C5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
22k,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
M1,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
k22,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
TPS54202DDC,U1,SOT-23-6_Handsoldering,
