Comment,Designator,Footprint,LCSC,Quantity
5k1,"R14,R15,R16",R_0402_1005Metric,C105872,3
10k,"R11,R13,R17,R4,R47,R48,R5,R6,R7,R8",R_0201_0603Metric,C106225,10
3k3,"R10,R46,R50,R51,R52,R53,R54",R_0402_1005Metric,C137992,7
USB,J6,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
22R,"R2,R3",R_0805_2012Metric,C17561,2
MAX98357A_WLP_Package,U2,Maxim_WLP-9_1.595x1.415_Layout3x3_P0.4mm_Ball0.27mm_Pad0.25mm_NSMD,C2682619,1
ToBase,J4,Hirose_FH12-14S-0.5SH_1x14-1MP_P0.50mm_Horizontal,C2856800,1
Display_P169H002-CTP,X1,Display_P169H002-CTP,C2856802,1
TJA1051TK-3,U7,HVSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm,C2875699,1
ESP32-S3-MINI-1,U1,ESP32-S3-MINI-1,C2913206,1
AHT20,U12,AHT21,C3012622,1
10u,"C12,C13,C14,C15,C9",C_0402_1005Metric,C315248,5
T3902,MK1,MIC_T3902,C3171752,1
AO3400,Q1,SOT-23_smaller,C347475,1
PROG,J32,PinHeader_2x03_P1.27mm_Vertical_SMD,C3975186,1
AMS1117-3.3,U4,SOT-223-3_TabPin2,C6186,1
u1,"C1,C10,C11,C38,C39,C40,C41,C45,C46,C57",C_0201_0603Metric,C76934,10
10n,"C42,C6,C7",C_0201_0603Metric,C76941,3
22u,"C56,C85,C86",C_0603_1608Metric,C86295,3
DS18B20U,U6,MSOP-8_3x3mm_P0.65mm_handsolder,,1
RESET,SW4,SW_Push_SPST_NO_4x3x2_handsolder,,1
VCNL4040,U5,VCNL4040_handsolder,,1
