Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,u1,C_0201_0603Metric,87.6,-113.5,270.0,bottom
C10,u1,C_0201_0603Metric,109.4,-105.3,180.0,bottom
C11,u1,C_0201_0603Metric,111.9,-105.15,90.0,bottom
C12,10u,C_0402_1005Metric,110.75,-104.95,90.0,bottom
C13,10u,C_0402_1005Metric,102.15,-118.2,0.0,bottom
C14,10u,C_0402_1005Metric,94.7,-117.65,90.0,bottom
C15,10u,C_0402_1005Metric,116.8,-93.4,90.0,bottom
C38,u1,C_0201_0603Metric,118.85,-110.25,270.0,bottom
C39,u1,C_0201_0603Metric,91.5,-110.95,90.0,bottom
C40,u1,C_0201_0603Metric,115.35,-91.7,270.0,bottom
C41,u1,C_0201_0603Metric,89.7,-86.4,90.0,bottom
C42,10n,C_0201_0603Metric,110.4,-94.1,90.0,bottom
C45,u1,C_0201_0603Metric,109.95,-89.0,270.0,bottom
C46,u1,C_0201_0603Metric,115.35,-93.45,90.0,bottom
C56,22u,C_0603_1608Metric,92.2,-117.95,0.0,bottom
C57,u1,C_0201_0603Metric,99.75,-121.7,90.0,bottom
C6,10n,C_0201_0603Metric,110.45,-98.55,90.0,bottom
C7,10n,C_0201_0603Metric,110.75,-96.0,0.0,bottom
C85,22u,C_0603_1608Metric,112.75,-89.05,180.0,bottom
C86,22u,C_0603_1608Metric,90.8,-85.6,90.0,bottom
C9,10u,C_0402_1005Metric,109.35,-104.45,180.0,bottom
J32,PROG,PinHeader_2x03_P1.27mm_Vertical_SMD,112.85,-85.95,180.0,bottom
J4,ToBase,Hirose_FH12-14S-0.5SH_1x14-1MP_P0.50mm_Horizontal,100.0,-102.55,0.0,bottom
J6,USB,USB_C_Receptacle_HRO_TYPE-C-31-M-12,117.4,-100.0,270.0,bottom
MK1,T3902,MIC_T3902,116.800538,-89.768923,238.0,bottom
Q1,AO3400,SOT-23_smaller,105.85,-119.1,0.0,bottom
R10,3k3,R_0402_1005Metric,107.7,-105.4,180.0,bottom
R11,10k,R_0201_0603Metric,112.2,-95.2,0.0,bottom
R13,10k,R_0201_0603Metric,110.75,-95.2,180.0,bottom
R14,5k1,R_0402_1005Metric,111.91,-98.8,0.0,bottom
R15,5k1,R_0402_1005Metric,112.65,-101.5,0.0,bottom
R16,5k1,R_0402_1005Metric,111.25,-93.9,270.0,bottom
R17,10k,R_0201_0603Metric,106.75,-117.1,180.0,bottom
R2,22R,R_0805_2012Metric,103.25,-120.6,0.0,bottom
R3,22R,R_0805_2012Metric,114.05,-92.6,90.0,bottom
R4,10k,R_0201_0603Metric,110.75,-97.45,180.0,bottom
R46,3k3,R_0402_1005Metric,112.6,-91.9,90.0,bottom
R47,10k,R_0201_0603Metric,117.35,-110.25,90.0,bottom
R48,10k,R_0201_0603Metric,118.1,-110.25,270.0,bottom
R5,10k,R_0201_0603Metric,110.75,-96.7,180.0,bottom
R50,3k3,R_0402_1005Metric,112.75,-104.95,270.0,bottom
R51,3k3,R_0402_1005Metric,112.65,-102.45,180.0,bottom
R52,3k3,R_0402_1005Metric,107.5,-103.5,180.0,bottom
R53,3k3,R_0402_1005Metric,107.5,-104.45,180.0,bottom
R54,3k3,R_0402_1005Metric,112.2,-93.9,270.0,bottom
R6,10k,R_0201_0603Metric,112.2,-97.45,0.0,bottom
R7,10k,R_0201_0603Metric,112.2,-96.7,0.0,bottom
R8,10k,R_0201_0603Metric,105.3,-117.1,180.0,bottom
SW4,RESET,SW_Push_SPST_NO_4x3x2_handsolder,117.7,-112.5,-126.0,top
U1,ESP32-S3-MINI-1,ESP32-S3-MINI-1,101.55,-91.5,0.0,bottom
U12,AHT20,AHT21,97.9,-121.35,0.0,bottom
U2,MAX98357A_WLP_Package,Maxim_WLP-9_1.595x1.415_Layout3x3_P0.4mm_Ball0.27mm_Pad0.25mm_NSMD,90.55,-88.0,0.0,bottom
U4,AMS1117-3.3,SOT-223-3_TabPin2,111.0,-109.5,180.0,bottom
U5,VCNL4040,VCNL4040_handsolder,120.4,-98.4,0.0,top
U6,DS18B20U,MSOP-8_3x3mm_P0.65mm_handsolder,119.5,-102.8,0.0,top
U7,TJA1051TK-3,HVSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm,90.1,-113.5,180.0,bottom
X1,Display_P169H002-CTP,Display_P169H002-CTP,100.0,-115.2,180.0,bottom
