Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,95.4,-76.9,90.0,top
C11,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,79.0,-81.0,-90.0,top
C12,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,77.0,-81.0,-90.0,top
C13,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,102.15,-76.2,90.0,bottom
C14,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,102.0,-66.3,0.0,top
C15,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,88.85,-66.3,0.0,top
C16,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,73.15,-67.7,45.0,top
C17,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,66.3,-82.55,90.0,top
C18,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,66.3,-98.05,90.0,top
C19,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,66.3,-111.7,90.0,top
C20,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,67.7,-126.7,135.0,top
C21,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,82.5,-133.7,180.0,top
C22,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,98.0,-133.7,180.0,top
C23,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,111.15,-133.7,180.0,top
C24,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,126.8,-132.3,-135.0,top
C25,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,133.7,-117.45,-90.0,top
C26,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,133.7,-102.0,-90.0,top
C27,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,133.7,-88.85,-90.0,top
C28,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,132.3,-73.25,-45.0,top
C29,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,117.45,-66.3,0.0,top
C48,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120.2,-101.3,90.0,top
C53,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,122.2,-101.3,90.0,top
C54,u1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,124.2,-101.3,90.0,top
C55,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,115.8,-117.6,180.0,top
C79,u1/35V,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,114.6,-79.45,180.0,top
C80,10u/35V,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,115.25,-81.6,180.0,top
C81,u1/16V,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,119.45,-76.6,0.0,top
C82,56p,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,119.45,-78.55,0.0,top
