Comment,Designator,Footprint,LCSC
PT26-21B/TR8,Q1,LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm,C131248
u1,"C1,C2,C3,C8",C_0402_1005Metric,C1525
10u,C9,C_0402_1005Metric,C15525
10u,C7,C_0603_1608Metric,C19702
k1,R7,R_0402_1005Metric,C25076
10k,"R6,R8,R9",R_0402_1005Metric,C25744
4k7,R1,R_0402_1005Metric,C25900
5k1,"R10,R2",R_0402_1005Metric,C25905
HIR25-21C/L423/2T,D1,LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm,C282224
USB,J4,GT-USB-7051A,C2843970
ESP32-S3-MINI-1,U1,ESP32-S3-MINI-1U,C2980299
BOOT,SW3,SW_SPST_TL3342,C318884
22u,C4,C_0603_1608Metric,C59461
AMS1117-3.3,U2,SOT-223-3_TabPin2,C6186
SRV05-4,U3,SOT-23-6,C85364
K1..K18,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
IR_TX,TP1,TestPoint_Pad_D1.5mm,
PROG,J1,IDC_2x03_P1.27mm_Vertical,
NUP2105,D2,SOT-23_Handsoldering,
Reset,SW2,"Button_2x4x3,5_handsolder",
SN65HVD230,U4,SOIC-8_3.9x4.9mm_Pitch1.27mm_handsolder,
5V CL CH GN,J3,"PhoenixContact_MCV_1,5_4-G-3.5_1x04_P3.50mm_Vertical",
MountingHole,H1,MountingHole_2.2mm_M2,
Ext,J2,PinHeader_1x08_P2.54mm_Horizontal,
IR_RX,TP2,TestPoint_Pad_D1.5mm,
PU,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
MountingHole,H2,MountingHole_2.2mm_M2,
IPS_240_240,U5,IPS_240_240_1.3,
PU,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
